2012,40,4344,0,0,69,3,10,78,0,3.68324125230203
2012,41,4711,0,0,67,7,25,95,0,4.11802165145404
2012,42,5011,0,0,126,4,47,121,0,5.94691678307723
2012,43,4913,0,0,148,3,49,139,0,6.90006106248728
2012,44,5153,0,0,182,4,73,151,0,7.95653017659616
2012,45,6130,0,0,265,5,114,231,0,10.0326264274062
2012,46,6364,0,0,366,8,210,262,2,13.3249528598366
2012,47,7112,0,0,587,7,406,360,0,19.1226096737908
2012,48,8886,0,0,989,17,532,495,0,22.8786855728112
2012,49,11471,0,0,1735,38,978,674,0,29.857902536832
2012,50,13886,0,0,2575,49,1141,823,0,33.040472418263
2012,51,15766,0,0,3537,54,1274,1106,0,37.8726373208169
2012,52,17021,0,0,3752,79,1545,1165,0,38.4289994712414
2013,1,18393,0,0,3650,85,1670,1107,0,35.4047735551569
2013,2,20368,0,0,3899,98,1808,1163,0,34.2105263157895
2013,3,19575,0,0,3136,116,1654,1096,0,30.661558109834
2013,4,17502,0,0,2396,130,1558,1132,0,29.802308307622
2013,5,15147,0,0,1865,121,963,1088,0,26.6521423384168
2013,6,13708,0,0,1178,121,722,1109,0,22.8333819667348
2013,7,11981,0,0,805,69,501,1103,0,20.6827476838327
2013,8,10823,0,0,559,76,371,1132,0,19.7542271089347
2013,9,9895,0,0,406,57,295,1098,0,18.7569479535119
2013,10,9307,0,0,313,67,207,1088,0,17.9972064037821
2013,11,9056,0,0,205,46,195,1043,0,16.4421378091873
2013,12,8194,0,0,174,35,139,929,0,15.5845740785941
2013,13,7009,0,0,113,37,94,766,0,14.4100442288486
2013,14,6501,0,0,119,31,102,649,0,13.859406245193
2013,15,5973,0,0,68,45,65,465,0,10.7651096601373
2013,16,5371,0,0,74,28,47,311,0,8.56451312604729
2013,17,4673,0,0,60,33,46,239,0,8.08902204151509
2013,18,4461,0,0,54,15,30,204,0,6.79219905850706
2013,19,4040,0,0,36,12,27,160,0,5.81683168316832
2013,20,3736,0,0,24,11,20,127,0,4.87152034261242
2013,21,3654,0,0,18,13,21,112,0,4.48823207443897
2013,22,3268,0,0,14,14,28,94,0,4.58996328029376
2013,23,3259,0,0,12,12,29,83,0,4.17305922061982
2013,24,2946,0,0,12,20,32,62,0,4.27698574338086
2013,25,2900,0,0,11,27,32,54,2,4.3448275862069
2013,26,2672,0,0,5,34,22,28,6,3.55538922155689
2013,27,2354,0,0,13,14,27,25,4,3.52591333899745
2013,28,2442,0,0,30,17,40,14,0,4.13595413595414
2013,29,2311,0,0,13,17,28,14,1,3.15880571181307
2013,30,2073,0,0,10,14,30,10,1,3.13555233960444
2013,31,2282,0,0,14,20,32,20,2,3.85626643295355
2013,32,2273,0,0,11,26,28,12,0,3.38759348878135
2013,33,2002,0,0,3,15,34,11,0,3.14685314685315
2013,34,2232,0,0,4,9,43,3,1,2.68817204301075
2013,35,2695,0,0,4,39,66,10,1,4.45269016697588
2013,36,2825,0,0,5,23,73,12,0,4
2013,37,3190,0,0,7,48,60,7,0,3.82445141065831
2013,38,3400,0,0,7,32,56,22,0,3.44117647058824
2013,39,3890,0,0,10,49,102,18,0,4.60154241645244
