1,250,
2,500,
3,1000,
4,2000,
5,10000,
6,20000,
7,55000,
8,100000,
9,110000,
10,30000,
11,25000,
12,11000,
13,5000,
14,4500,
15,3000,
16,5000,
17,9000,
18,14000,
19,18000,
20,27000,
21,53000,
22,78000,
23,84000,
24,64000,
25,53000,
26,46000,
27,22000,
28,11000,
29,9000,
30,6000
