t,I
473	,1642
474	,1694
475	,1675
476	,1696
477	,1400
478	,1697
479	,1518
480	,1334
481	,1610
482	,1460
483	,1290
484	,1288
485	,1194
486	,1186
487	,1226
488	,1338
489	,1462
490	,1418
491	,1625
492	,1573
493	,1404
494	,1225
495	,1566
496	,1414
497	,1401
498	,989
499	,792
500	,962
501	,889
502	,931
503	,882
504	,2950
505	,2576
506	,2265
507	,2232
508	,2022
509	,2109
510	,2227
511	,2153
512	,2179
513	,1877
514	,1587
515	,1499
516	,1635
517	,1255
518	,2221
519	,2315
520	,2483
521	,2557
522	,2559
523	,2413
524	,1442
525	,1198
526	,948
527	,212
528	,406
529	,322
530	,387
531	,406
532	,375
533	,508
534	,359
535	,125
536	,75
537	,93
538	,947
539	,772
540	,270
541	,311
542	,454
543	,237
544	,536
545	,705
546	,693
547	,756
548	,845
549	,1189
550	,1153
551	,1185
552	,1003
553	,1259
554	,1089
555	,1206
556	,1100
557	,338
558	,137
559	,68
560	,219
561	,522
562	,449
563	,181
564	,90
565	,144
566	,218
567	,156
568	,123
569	,76
570	,81
571	,68
572	,88
573	,105
574	,159
575	,139
576	,121
577	,120
578	,47
