Time, I,
08/07/2013 00:00,	321,
09/07/2013 00:00,	321,
10/07/2013 00:00,	414,
11/07/2013 00:00,	448,
12/07/2013 00:00,	513,
13/07/2013 00:00,	367,
14/07/2013 00:00,	453,
15/07/2013 00:00,	347,
16/07/2013 00:00,	384,
17/07/2013 00:00,	406,
18/07/2013 00:00,	409,
19/07/2013 00:00,	445,
20/07/2013 00:00,	376,
21/07/2013 00:00,	392,
22/07/2013 00:00,	368,
23/07/2013 00:00,	424,
24/07/2013 00:00,	409,
25/07/2013 00:00,	429,
26/07/2013 00:00,	551,
27/07/2013 00:00,	548,
28/07/2013 00:00,	431,
29/07/2013 00:00,	438,
30/07/2013 00:00,	448,
31/07/2013 00:00,	326,
01/08/2013 00:00,	279,
02/08/2013 00:00,	117,
03/08/2013 00:00,	186,
04/08/2013 00:00,	62,
05/08/2013 00:00,	130,
06/08/2013 00:00,	160,
07/08/2013 00:00,	185,
08/08/2013 00:00,	203,
09/08/2013 00:00,	135,
10/08/2013 00:00,	52,
11/08/2013 00:00,	41,
12/08/2013 00:00,	36,
13/08/2013 00:00,	221,
14/08/2013 00:00,	303,
15/08/2013 00:00,	92,
16/08/2013 00:00,	107,
17/08/2013 00:00,	164,
18/08/2013 00:00,	57,
19/08/2013 00:00,	96,
20/08/2013 00:00,	228,
21/08/2013 00:00,	190,
22/08/2013 00:00,	212,
23/08/2013 00:00,	207,
24/08/2013 00:00,	329,
25/08/2013 00:00,	330,
26/08/2013 00:00,	330,
27/08/2013 00:00,	302,
28/08/2013 00:00,	330,
29/08/2013 00:00,	348,
30/08/2013 00:00,	369,
31/08/2013 00:00,	309,
01/09/2013 00:00,	126,
02/09/2013 00:00,	44,
03/09/2013 00:00,	41,
04/09/2013 00:00,	102,
05/09/2013 00:00,	175,
06/09/2013 00:00,	162,
07/09/2013 00:00,	52,
08/09/2013 00:00,	86,
09/09/2013 00:00,	63,
10/09/2013 00:00,	129,
11/09/2013 00:00,	52,
12/09/2013 00:00,	78,
13/09/2013 00:00,	32,
14/09/2013 00:00,	47,
15/09/2013 00:00,	67,
16/09/2013 00:00,	55,
17/09/2013 00:00,	10,
18/09/2013 00:00,	61,
19/09/2013 00:00,	46,
20/09/2013 00:00,	52,
21/09/2013 00:00,	26,
22/09/2013 00:00,	34,
23/09/2013 00:00,	70,
24/09/2013 00:00,	108,
25/09/2013 00:00,	89
