Time,	PSY: Downloads - BitTorrent,
15/02/2013 00:00,	9923,
16/02/2013 00:00,	11032,
17/02/2013 00:00,	10495,
18/02/2013 00:00,	10023,
19/02/2013 00:00,	9816,
20/02/2013 00:00,	9587,
21/02/2013 00:00,	9114,
22/02/2013 00:00,	8803,
23/02/2013 00:00,	8835,
24/02/2013 00:00,	8121,
25/02/2013 00:00,	7858,
26/02/2013 00:00,	7205,
27/02/2013 00:00,	9327,
28/02/2013 00:00,	8762,
01/03/2013 00:00,	8562,
02/03/2013 00:00,	9573,
03/03/2013 00:00,	9271,
04/03/2013 00:00,	9239,
05/03/2013 00:00,	8985,
06/03/2013 00:00,	9334,
07/03/2013 00:00,	8832,
08/03/2013 00:00,	7509,
09/03/2013 00:00,	8878,
10/03/2013 00:00,	8833,
11/03/2013 00:00,	9001,
12/03/2013 00:00,	9065,
13/03/2013 00:00,	9164,
14/03/2013 00:00,	8964,
15/03/2013 00:00,	9344,
16/03/2013 00:00,	9908,
17/03/2013 00:00,	10061,
18/03/2013 00:00,	9054,
19/03/2013 00:00,	9104,
20/03/2013 00:00,	8998,
21/03/2013 00:00,	8602,
22/03/2013 00:00,	8490,
23/03/2013 00:00,	8468,
24/03/2013 00:00,	8473,
25/03/2013 00:00,	8506,
26/03/2013 00:00,	8334,
27/03/2013 00:00,	7657,
28/03/2013 00:00,	8142,
29/03/2013 00:00,	8025,
30/03/2013 00:00,	7809,
31/03/2013 00:00,	7383,
01/04/2013 00:00,	8167,
02/04/2013 00:00,	8331,
03/04/2013 00:00,	7705,
04/04/2013 00:00,	7901,
05/04/2013 00:00,	7710,
06/04/2013 00:00,	7685,
07/04/2013 00:00,	7543,
08/04/2013 00:00,	7518,
09/04/2013 00:00,	6933,
10/04/2013 00:00,	7690,
11/04/2013 00:00,	7985,
12/04/2013 00:00,	10224,
13/04/2013 00:00,	10550,
14/04/2013 00:00,	11163,
15/04/2013 00:00,	12053,
16/04/2013 00:00,	12165,
17/04/2013 00:00,	12193,
18/04/2013 00:00,	10862,
19/04/2013 00:00,	12109,
20/04/2013 00:00,	12252,
21/04/2013 00:00,	12668,
22/04/2013 00:00,	11367,
23/04/2013 00:00,	11399,
24/04/2013 00:00,	11298,
25/04/2013 00:00,	11071,
26/04/2013 00:00,	11176,
27/04/2013 00:00,	10977,
28/04/2013 00:00,	10793,
29/04/2013 00:00,	9552,
30/04/2013 00:00,	10332,
01/05/2013 00:00,	10064,
02/05/2013 00:00,	9949,
03/05/2013 00:00,	8703,
04/05/2013 00:00,	9084,
05/05/2013 00:00,	10662,
06/05/2013 00:00,	9795,
07/05/2013 00:00,	10247,
08/05/2013 00:00,	10349,
09/05/2013 00:00,	8789,
10/05/2013 00:00,	9484,
11/05/2013 00:00,	9361,
12/05/2013 00:00,	9739,
13/05/2013 00:00,	9911,
14/05/2013 00:00,	8850,
15/05/2013 00:00,	9453,
16/05/2013 00:00,	9236,
17/05/2013 00:00,	9720,
18/05/2013 00:00,	10076,
19/05/2013 00:00,	9471,
20/05/2013 00:00,	9430,
21/05/2013 00:00,	9302,
22/05/2013 00:00,	8876,
23/05/2013 00:00,	9597,
24/05/2013 00:00,	9703,
25/05/2013 00:00,	9350,
26/05/2013 00:00,	9142,
27/05/2013 00:00,	9216,
28/05/2013 00:00,	9529,
29/05/2013 00:00,	8462,
30/05/2013 00:00,	5537,
31/05/2013 00:00,	6856,
01/06/2013 00:00,	6506,
02/06/2013 00:00,	6711,
03/06/2013 00:00,	6621,
04/06/2013 00:00,	6510,
05/06/2013 00:00,	6631,
06/06/2013 00:00,	5549,
07/06/2013 00:00,	6207,
08/06/2013 00:00,	5727,
09/06/2013 00:00,	5628,
10/06/2013 00:00,	5581,
11/06/2013 00:00,	5639,
12/06/2013 00:00,	4189,
13/06/2013 00:00,	4109,
14/06/2013 00:00,	3642,
15/06/2013 00:00,	3307,
16/06/2013 00:00,	3402,
