t, I
16/08/2013 00:00,	4673
17/08/2013 00:00,	5308
18/08/2013 00:00,	3047
19/08/2013 00:00,	4524
20/08/2013 00:00,	3507
21/08/2013 00:00,	3850
22/08/2013 00:00,	3749
23/08/2013 00:00,	3246
24/08/2013 00:00,	5857
25/08/2013 00:00,	6067
26/08/2013 00:00,	5349
27/08/2013 00:00,	6824
28/08/2013 00:00,	7533
29/08/2013 00:00,	7739
30/08/2013 00:00,	7555
31/08/2013 00:00,	6644
01/09/2013 00:00,	3286
02/09/2013 00:00,	2286
03/09/2013 00:00,	1225
04/09/2013 00:00,	4391
05/09/2013 00:00,	4488
06/09/2013 00:00,	3892
07/09/2013 00:00,	2831
08/09/2013 00:00,	2097
09/09/2013 00:00,	3169
10/09/2013 00:00,	3908
11/09/2013 00:00,	3151
12/09/2013 00:00,	2933
13/09/2013 00:00,	1081
14/09/2013 00:00,	1933
15/09/2013 00:00,	1982
16/09/2013 00:00,	2535
17/09/2013 00:00,	584
18/09/2013 00:00,	2374
19/09/2013 00:00,	1462
20/09/2013 00:00,	2685
21/09/2013 00:00,	1599
22/09/2013 00:00,	226
23/09/2013 00:00,	1327
24/09/2013 00:00,	3608
25/09/2013 00:00,	3096
26/09/2013 00:00,	430
27/09/2013 00:00,	1558
28/09/2013 00:00,	1357
29/09/2013 00:00,	1157
30/09/2013 00:00,	168
01/10/2013 00:00,	278
02/10/2013 00:00,	102
03/10/2013 00:00,	209
04/10/2013 00:00,	161
05/10/2013 00:00,	502
06/10/2013 00:00,	236
07/10/2013 00:00,	1886
08/10/2013 00:00,	575
09/10/2013 00:00,	420
10/10/2013 00:00,	567
11/10/2013 00:00,	964
12/10/2013 00:00,	440
13/10/2013 00:00,	249
14/10/2013 00:00,	248
15/10/2013 00:00,	85
16/10/2013 00:00,	140
17/10/2013 00:00,	81
18/10/2013 00:00,	69
19/10/2013 00:00,	3657
20/10/2013 00:00,	2080
21/10/2013 00:00,	1263
22/10/2013 00:00,	16
23/10/2013 00:00,	4626
24/10/2013 00:00,	5482
25/10/2013 00:00,	4780
26/10/2013 00:00,	4318
27/10/2013 00:00,	4795
28/10/2013 00:00,	4233
29/10/2013 00:00,	4339
30/10/2013 00:00,	3701
31/10/2013 00:00,	3796
01/11/2013 00:00,	3894
02/11/2013 00:00,	4707
03/11/2013 00:00,	5017
04/11/2013 00:00,	3858
05/11/2013 00:00,	4752
06/11/2013 00:00,	4100
07/11/2013 00:00,	4651
08/11/2013 00:00,	4649
09/11/2013 00:00,	4812
10/11/2013 00:00,	4659
11/11/2013 00:00,	4613
12/11/2013 00:00,	3938
13/11/2013 00:00,	2895
14/11/2013 00:00,	4148
15/11/2013 00:00,	3805
16/11/2013 00:00,	4065
17/11/2013 00:00,	4313
18/11/2013 00:00,	4232
19/11/2013 00:00,	3981
20/11/2013 00:00,	3847
21/11/2013 00:00,	3851
22/11/2013 00:00,	3679
23/11/2013 00:00,	3962
24/11/2013 00:00,	4104
25/11/2013 00:00,	3906
26/11/2013 00:00,	3689
27/11/2013 00:00,	3695
28/11/2013 00:00,	3738
29/11/2013 00:00,	3505
30/11/2013 00:00,	3645
01/12/2013 00:00,	3636
02/12/2013 00:00,	3585
03/12/2013 00:00,	3532
04/12/2013 00:00,	3573
05/12/2013 00:00,	3566
06/12/2013 00:00,	3382
07/12/2013 00:00,	3537
08/12/2013 00:00,	3639
09/12/2013 00:00,	3532
10/12/2013 00:00,	3309
11/12/2013 00:00,	3345
12/12/2013 00:00,	3214
13/12/2013 00:00,	3294
14/12/2013 00:00,	3263
15/12/2013 00:00,	3370
16/12/2013 00:00,	3489
17/12/2013 00:00,	3323
18/12/2013 00:00,	3023
19/12/2013 00:00,	2986
20/12/2013 00:00,	3032
21/12/2013 00:00,	3171
22/12/2013 00:00,	3149
23/12/2013 00:00,	3183
24/12/2013 00:00,	3143
25/12/2013 00:00,	2992
26/12/2013 00:00,	3272
27/12/2013 00:00,	3107
28/12/2013 00:00,	3177
29/12/2013 00:00,	3148
30/12/2013 00:00,	3493
31/12/2013 00:00,	3248
01/01/2014 00:00,	2875
02/01/2014 00:00,	3482
03/01/2014 00:00,	3308
04/01/2014 00:00,	3263
05/01/2014 00:00,	3349
06/01/2014 00:00,	3376
07/01/2014 00:00,	3135
08/01/2014 00:00,	3293
09/01/2014 00:00,	3170
10/01/2014 00:00,	2857
11/01/2014 00:00,	3109
12/01/2014 00:00,	3415
13/01/2014 00:00,	3070
14/01/2014 00:00,	3078
15/01/2014 00:00,	3072
16/01/2014 00:00,	3006
