"","x"
"1",-1.16422603303598
"2",-0.605067137242747
"3",-0.911967534414917
"4",-1.21264024167467
"5",-1.44739405519523
"6",-1.65481323000947
"7",-0.912176933971596
"8",-0.709240713810714
"9",-0.550273435127706
"10",-0.657302372784384
"11",-0.649565828347245
"12",-0.763537363263806
"13",-0.806849449028695
"14",-0.912632189641153
"15",-1.0053170571852
"16",-0.976434378890176
"17",-1.07884414015402
"18",-1.17492619519489
"19",-1.0275157177752
"20",-1.09964126579713
"21",-0.919374475270374
"22",-0.852103291650529
"23",-0.841037821330946
"24",-0.669992314445099
"25",-0.665170842899292
"26",-0.724612878394538
"27",-0.706627317310313
"28",-0.728313363321514
"29",-0.777639972372663
"30",-0.746129112124809
"31",0.406011110121622
"32",0.516595267735666
"33",0.703656738783504
"34",0.866300479425146
"35",0.929724161674667
"36",0.955057978617631
"37",0.972440862902494
"38",0.986008412769553
"39",0.991959121631742
"40",0.994743358414718
"41",0.99737996808888
"42",0.998063855146828
"43",0.999028638959765
"44",0.999430938171298
"45",0.999451441386038
"46",0.999593583073546
"47",0.999704742013773
"48",0.999645398472535
"49",0.997438453897081
"50",0.999174381173135
"51",0.999479314828046
"52",0.99964982160036
"53",0.999719247568938
"54",0.999774285649328
"55",0.999838740322578
"56",0.999811245971164
"57",0.999460139708796
"58",0.999534661400291
"59",0.999911562772227
"60",0.999908565042793
"61",0.999896941033701
"62",0.9996487627634
"63",0.999887106188184
"64",0.999870333427535
"65",0.999560571379779
"66",0.999752353579341
"67",0.999891782890755
"68",0.999893020857458
"69",0.999894382682854
"70",0.999894039849042
"71",0.999895201467505
"72",0.998804695459821
"73",0.999895133028991
"74",0.998697402000308
"75",0.998704336357153
"76",0.999895321866278
"77",0.999895343947537
"78",0.999895040483928
"79",0.99989525935513
"80",0.999894128998115
"81",0.999893336773019
"82",0.999892916354353
"83",0.999891244978203
"84",0.998470470288728
"85",0.998498066067931
"86",0.998437588661273
"87",0.998433740375265
"88",0.998432106678733
"89",0.998432112640266
"90",0.99843235418006
"91",0.9984279256616
"92",0.998451607761095
"93",0.998418657279038
"94",0.998351751697313
"95",0.999312957700063
"96",0.997899300872528
"97",0.998352457403979
"98",0.997261282802766
"99",0.995527118655494
"100",0.999508334951469
"101",0.999829602211344
"102",0.999508100834869
"103",0.998782861195559
"104",0.999153734788889
"105",0.998635807715911
"106",0.999293825770368
"107",0.998467907687604
"108",0.999032023472511
"109",0.999665644850733
"110",0.999813549353605
"111",0.999026504510426
"112",0.9987250588187
"113",0.999084104909659
"114",0.998445257523429
"115",0.999086087500114
"116",0.99875787706384
"117",0.998820595481348
"118",0.998751618768004
"119",0.998764841095684
"120",0.99882201305345
"121",0.998591558163012
"122",0.998515423343611
"123",0.99854267788022
"124",0.998864709440381
"125",0.999823295994289
"126",0.999510426137215
"127",0.997647863118824
"128",0.998483015712115
"129",0.998220625003375
"130",0.998748380015943
"131",0.998027074460582
"132",0.99817389075828
"133",0.997546387393665
"134",0.998535734545157
"135",0.998001302613658
"136",0.999128647265201
"137",0.998520322411291
"138",0.998593025303338
"139",0.999315136763176
"140",0.999496818768032
"141",0.998975713569391
"142",0.999041875266541
"143",0.999061783345871
"144",0.998426586818476
"145",0.999334950256034
"146",0.998569559057199
"147",0.998898686911259
"148",0.999772951193699
"149",0.998700426710536
"150",0.999307970807372
"151",0.999630296765675
"152",0.996864907651399
"153",0.998931952607717
"154",0.998969923224756
"155",0.932059517730457
"156",0.998790406451822
"157",0.998144071259535
"158",0.998615489383319
"159",0.998494541469322
"160",0.998603714133803
"161",0.999214246557078
"162",0.99853816716588
"163",0.998887363871877
"164",0.998227219799109
"165",0.999462525669821
"166",0.999079131345812
"167",0.998504031485603
"168",0.998901767498912
"169",0.99965700315324
"170",0.998907355960092
"171",0.999390034603465
