"","x"
"1",-0.24966308441895
"2",-0.0677702381466914
"3",-0.00926309701672379
"4",-0.0585158643009882
"5",-0.108832157490242
"6",-0.0283617541744956
"7",-0.0261093800365317
"8",-0.0144879349740732
"9",-0.063855905553577
"10",-0.148053470987566
"11",0.634600419493422
"12",0.598917719613025
"13",0.502223199600424
"14",0.46539119522229
"15",-0.0386925403544272
"16",-0.0210396053274025
"17",0.403570734389389
"18",-0.038963655242934
"19",-0.0339934969029816
"20",-0.0411518087873448
"21",-0.0137134947442799
"22",-0.0392160782062962
"23",-0.00475246962960663
"24",0.0424290663269322
"25",0.13874889461076
"26",0.186529331404805
"27",0.155759489305673
"28",0.209655517732928
"29",0.483744026033119
"30",0.589212204050774
"31",0.661570966620908
"32",0.746085448387011
"33",0.772661864750632
"34",0.774883352768928
"35",0.794077929139701
"36",0.800852632644593
"37",0.809766293905053
"38",0.811063386391376
"39",0.802465786445834
"40",0.818944087538864
"41",0.827155861688624
"42",0.830327470869215
"43",0.836975020585723
"44",0.841018974539085
"45",0.798262574283027
"46",0.805265495674225
"47",0.815079607347768
"48",0.804347642613907
"49",0.810789293668166
"50",0.818628927796641
"51",0.827019986385524
"52",0.834462604434156
"53",0.840094100018042
"54",0.838592149626354
"55",0.845786259362539
"56",0.846040488673759
"57",0.851804302041691
"58",0.853462570708683
"59",0.856411984781556
"60",0.856128289683239
"61",0.859320256355336
"62",0.86404318010998
"63",0.868581006919472
"64",0.872650725902415
"65",0.875749568334064
"66",0.87783608759337
"67",0.874808028171353
"68",0.859342933788362
"69",0.841797029253548
"70",0.828743001618193
"71",0.823643876381465
"72",0.817704440238757
"73",0.824130434117763
"74",0.822445414426111
"75",0.822765443639005
"76",0.821645726164313
"77",0.828228518603008
"78",0.828116830512444
"79",0.829499064840643
"80",0.831730992054815
"81",0.836048160635951
"82",0.840318079612909
"83",0.844272656356957
"84",0.82952693829139
"85",0.82372580038513
"86",0.810773600575292
"87",0.812130191671397
"88",0.817480803620252
"89",0.818232772761762
"90",0.792678203559311
"91",0.784309587097535
"92",0.787762379797166
"93",0.79470448193441
"94",0.789540168852931
"95",0.796513492936698
"96",0.800866965343283
"97",0.806573093012906
"98",0.810350070704605
"99",0.814801295131361
"100",0.813735168188543
"101",0.801838834357637
"102",0.809845687182979
"103",0.81735485867779
"104",0.8244160268075
"105",0.830484563228818
"106",0.835863937735202
"107",0.836217372694848
"108",0.842221198259927
"109",0.823789536813847
"110",0.819724311178817
"111",0.820473739232043
"112",0.819541790375098
"113",0.81985506605098
"114",0.822125484660333
"115",0.823078495442486
"116",0.823158535992685
"117",0.825382940933915
"118",0.827474267337029
"119",0.826493893198914
"120",0.827208452992025
"121",0.829258121408426
"122",0.83132212150532
"123",0.832239101105107
"124",0.832480055272876
"125",0.83378095350323
"126",0.834840046851831
"127",0.835402904411174
"128",0.835818924381769
"129",0.836768770083762
"130",0.687505213959718
"131",0.601697278119936
"132",0.571483690867955
"133",0.569940983730126
"134",0.562971844461668
"135",0.558621983801026
"136",0.559119824772475
"137",0.564888873794917
"138",0.572525193499185
"139",0.582083645082252
"140",0.598424868332272
"141",0.61601332225423
"142",0.635648839203222
"143",0.647367796826543
"144",0.65821731425787
"145",0.66828890258812
"146",0.677664283032214
"147",0.686413844685703
"148",0.694598878396721
"149",0.702272864905906
"150",0.702347264684063
"151",0.709599974647422
"152",0.716916988046601
"153",0.720506740100687
"154",0.719390863152755
"155",0.723862187557724
"156",0.72155888883696
"157",0.723620682539226
"158",0.724559083834706
"159",0.728879663883334
"160",0.728029770122207
"161",0.732124045738695
"162",0.731166240091746
"163",0.733800044966511
"164",0.735746931991464
"165",0.737236585154655
"166",0.739261311757831
"167",0.741476736784066
"168",0.743944593147163
"169",0.745109649377617
"170",0.74709062142765
"171",0.74778545785862
"172",0.747443829351134
"173",0.746778023565629
"174",0.744970141991382
"175",0.743674197086799
"176",0.741442178486403
"177",0.7415879399503
"178",0.739545158002163
"179",0.739628307041668
"180",0.739559632476284
"181",0.737116516745083
"182",0.735736520008126
"183",0.733730349286852
"184",0.733244021583097
"185",0.732707780552065
"186",0.732697334812565
"187",0.732356763657873
"188",0.731374395399973
"189",0.731339323000379
"190",0.730908292570456
"191",0.730940936474307
"192",0.730832545563552
"193",0.730740408123801
"194",0.730815019579083
"195",0.727869184933014
"196",0.724583478192799
"197",0.72271651710695
"198",0.717886788650001
"199",0.711514579988846
"200",0.705095264679159
"201",0.699727906995479
"202",0.696787235668394
"203",0.69679310832369
"204",0.696454777496087
"205",0.695346550332553
"206",0.694881394641198
"207",0.694310464749982
"208",0.69416506273209
"209",0.694307406030938
"210",0.694350619662543
"211",0.694461367271594
"212",0.694120668553618
"213",0.694227042101985
"214",0.694405419654142
"215",0.694230700640407
"216",0.694547024748693
"217",0.694913643738279
"218",0.695216269054705
"219",0.695147684109
"220",0.695506351259428
"221",0.695997772779952
"222",0.696170894402973
"223",0.696728745466865
"224",0.696886236389917
"225",0.697520948191495
"226",0.696535780173674
"227",0.696176786359533
"228",0.696696128480766
"229",0.697358219388188
"230",0.69807544724819
"231",0.698835930983694
"232",0.699465322202364
"233",0.700194961346728
"234",0.700912315791287
"235",0.701712178099946
"236",0.702536693065814
"237",0.703442589027804
"238",0.7043411246935
"239",0.704707488330952
"240",0.705649386577346
"241",0.706606646841997
"242",0.707561559373203
"243",0.70842058040005
"244",0.709396237194905
"245",0.710383901535189
"246",0.711376326144437
"247",0.712369439242009
"248",0.713368355955165
"249",0.714368356577226
"250",0.715369428328006
"251",0.712807597681689
"252",0.712693714074968
"253",0.713304571985314
"254",0.714329002445757
"255",0.709457197637774
"256",0.702222395663584
"257",0.69698833823822
"258",0.692913318918632
"259",0.687660088084022
"260",0.683800403127568
"261",0.679698786976465
"262",0.676999428354574
"263",0.674104084281982
"264",0.671003662957081
"265",0.666014765267395
"266",0.660241736542888
"267",0.657256998637584
"268",0.65221512976397
"269",0.648738076482051
"270",0.64399065687515
"271",0.639276060722774
"272",0.634187283538841
"273",0.629513331535465
"274",0.624983632450318
"275",0.621988825286011
"276",0.620899805135156
"277",0.617474905844262
"278",0.614781205562499
"279",0.611569683859961
"280",0.607845042144267
"281",0.604326698560095
"282",0.601362355218574
"283",0.598687353217208
"284",0.596022965842033
"285",0.593707551691942
"286",0.590859656403366
"287",0.587748183252019
"288",0.585061066252152
"289",0.582808874001095
"290",0.580563117479422
"291",0.578255942513793
"292",0.576387149577651
"293",0.574284222374681
"294",0.572214980128081
"295",0.570253632903148
"296",0.568401026302066
"297",0.566492646250563
"298",0.564612824306552
"299",0.563059243766843
"300",0.561258533919439
"301",0.55929830802474
"302",0.55753962419255
"303",0.55616091125132
"304",0.554735588404208
"305",0.553526266071065
"306",0.552201778526968
"307",0.550935602659975
"308",0.54951190346453
"309",0.547909445839746
"310",0.546584866541424
"311",0.54571603753767
"312",0.54490419868053
"313",0.544031712160903
"314",0.542963600385688
"315",0.541935119721824
"316",0.540864005068283
"317",0.539858668255464
"318",0.539073148591233
"319",0.53789035333136
"320",0.536956318449002
"321",0.535928332167918
"322",0.534949134273662
"323",0.533462199669338
"324",0.532357685159033
"325",0.531774528639947
"326",0.530331891668435
"327",0.529163483853193
"328",0.528069806637573
"329",0.526859672783653
"330",0.52562002282383
"331",0.524733598137286
"332",0.52363176892633
"333",0.522711240698272
"334",0.522207819656697
"335",0.521378151861649
"336",0.520105923799021
"337",0.519308736367874
"338",0.518488180906714
"339",0.517663231972811
