x
1,0
2,0.21323047298938
3,0.614689400419593
4,1.28539825370535
5,-0.127653464209288
6,1.26576204365119
7,1.3583332109265
8,0.790578258689493
9,0.727210761513561
10,-0.407444785349071
11,-0.119068176485598
12,-0.177903821226209
13,0.843028367031366
14,0.237190110143274
15,1.00866551371291
16,0.464381157886237
17,0.904219690244645
18,1.45279486337677
19,0.229053032584488
20,1.02387311635539
21,1.33839313592762
22,-0.106732283718884
23,0.772330205887556
24,-0.279907134361565
25,0.00342401117086411
26,0.241210858803242
27,-0.504236659966409
28,0.233758587855846
29,1.20836436515674
30,0.149680667091161
31,0.4689826737158
32,1.4689826737158
33,2.4689826737158
34,2.28271696661608
35,1.65195416046491
36,3.68933256004051
37,6.2249549412512
38,8.00811790502012
39,3.67683276999531
40,2.72596808575113
41,4.48808952570025
42,4.15766677850093
43,3.90927940918021
44,5.16256781229859
45,3.98518736876427
46,-2.5311043397036
47,-8.23951109448015
48,-11.4681307511279
49,-5.8926628086146
50,-8.20083091441964
51,-0.197556452228554
52,4.5290379182583
53,13.0470723163205
54,24.4027294332302
55,20.7801130387565
56,18.5457660117646
57,13.2350928679327
58,5.51883211385174
59,6.16840443302701
60,7.02707412051265
61,7.98817168180548
62,4.97946949949971
63,0.952285395172964
64,-0.125999804809481
65,-6.27704085390295
66,-6.51499246872692
67,-12.8488640374732
68,-21.2841238641727
69,-23.8237961521301
70,-27.4692145121749
71,-29.2205421362239
72,-31.077132780287
73,-32.0377826052771
74,-39.1009067888687
75,-41.2646639937976
76,-42.52704448707
77,-43.8859327745155
78,-44.3391522656109
79,-42.8844971961531
80,-40.5197554659831
81,-39.2427249649166
82,-37.0512252075449
83,-26.9431055723306
84,-18.9162510717568
85,0.0314136798787672
86,20.9382076403189
87,41.7685175416764
88,61.5243354805935
89,81.2076064938558
90,86.8202285737816
91,89.3640529664911
92,89.8408846775126
93,92.2524831281494
94,84.6005629195805
95,76.8867946734463
96,68.1128059243649
97,60.2801820464387
98,49.390467200011
99,38.445165288306
100,28.4457409161194
101,19.393620344652
102,11.2901924380425
103,6.13680959827833
104,1.93478868602604
105,-3.31458807442024
106,-10.6100722073602
107,-13.9504481159751
108,-16.3345322312742
109,-19.7611721800561
110,-20.2292459720597
111,-21.7376612063394
112,-23.2853542967906
113,-26.8712897166673
114,-27.494459261871
115,-28.1538813327427
116,-32.8486002340509
117,-33.577685492845
118,-34.3402311938209
119,-34.1353553318376
120,-33.9621991812083
121,-33.8199266813905
122,-34.707723838694
123,-35.6247981436278
124,-36.5703780035078
125,-36.5437121899526
126,-37.5440693008952
