"","x"
"1",-0.24966308441895
"2",-0.0677702381466914
"3",-0.00926309701672379
"4",-0.0585158643009882
"5",-0.108832157490242
"6",-0.0283617541744956
"7",-0.0261093800365317
"8",-0.0144879349740732
"9",-0.063855905553577
"10",-0.148053470987566
"11",0.634600419493422
"12",0.598917719613025
"13",0.502223199600424
"14",0.46539119522229
"15",0.416744059772582
"16",0.240497726096173
"17",0.403570734389389
"18",0.393799846504771
"19",0.00127625241992635
"20",0.243675468967547
"21",-0.00137137956579703
"22",0.31108725148077
"23",0.000422517282884005
"24",0.0444850914625111
"25",0.14343730352887
"26",0.204307878387709
"27",0.195562610187264
"28",0.239278435096554
"29",0.499730549074901
"30",0.590087833826226
"31",0.663076483854758
"32",0.747124048921568
"33",0.779625254822646
"34",0.793318680744204
"35",0.808549821075602
"36",0.816912458982902
"37",0.822616583387365
"38",0.82214053309542
"39",0.806893844876424
"40",0.819058362445625
"41",0.827743470774154
"42",0.83198741878183
"43",0.836975020585723
"44",0.843967110257621
"45",0.82033406474132
"46",0.836629598879413
"47",0.840674142515877
"48",0.8221533188207
"49",0.826033840484168
"50",0.832597308610264
"51",0.842283136291223
"52",0.850904605782516
"53",0.858002580155744
"54",0.859107478261308
"55",0.86601754621996
"56",0.868177380269422
"57",0.873018044328557
"58",0.875991374226467
"59",0.879905252266463
"60",0.881062329480723
"61",0.885001837125167
"62",0.889759570206911
"63",0.894105808854943
"64",0.897518649767296
"65",0.899703611483028
"66",0.902104800968775
"67",0.90005500958115
"68",0.886324549811957
"69",0.92801738875672
"70",0.935755968382262
"71",0.941708846383156
"72",0.94685467315847
"73",0.946665318635626
"74",0.947587587828554
"75",0.949047591346162
"76",0.951151614498591
"77",0.947655791151259
"78",0.942658989703873
"79",0.943438136553839
"80",0.944182523509379
"81",0.943661970510743
"82",0.942361343031534
"83",0.941285569750807
"84",0.918832387533064
"85",0.907269164378616
"86",0.901829929846189
"87",0.909548656727337
"88",0.910333966898988
"89",0.912861610454132
"90",0.901349284775641
"91",0.911986340317205
"92",0.920389469952735
"93",0.92514869320469
"94",0.933694532381929
"95",0.941218020055215
"96",0.922872609806707
"97",0.915784251195264
"98",0.910521499677702
"99",0.91457140875835
"100",0.915069643976379
"101",0.890931745257421
"102",0.89643127377956
"103",0.901956149285206
"104",0.905698822224469
"105",0.909003634444716
"106",0.910860758137418
"107",0.910004906489099
"108",0.915732382914591
"109",0.890677308587556
"110",0.886941366679328
"111",0.888884241740162
"112",0.888690786614741
"113",0.889724896052838
"114",0.891315758245326
"115",0.892148004451145
"116",0.892581280593401
"117",0.89270134302066
"118",0.892745834562093
"119",0.893083704280121
"120",0.888456979748215
"121",0.889064037376078
"122",0.889327629838743
"123",0.890078681662412
"124",0.890445287118391
"125",0.891172399955125
"126",0.891851102067225
"127",0.892302158765616
"128",0.891125491246698
"129",0.890782756658823
"130",0.91793531025162
"131",0.935366038110966
"132",0.942790871538301
"133",0.941183124657432
"134",0.945061149141645
"135",0.947641727683099
"136",0.950087492735286
"137",0.951571462129419
"138",0.950457114517996
"139",0.95440148557087
"140",0.954174715291109
"141",0.953025795530511
"142",0.94865841238853
"143",0.949811592331791
"144",0.950213366376507
"145",0.951319279955816
"146",0.951733777682295
"147",0.952196715855477
"148",0.952356110111465
"149",0.95247185290962
"150",0.952714178415909
"151",0.952059944901012
"152",0.95096963502655
"153",0.951477017646207
"154",0.950981242670198
"155",0.951231253656199
"156",0.951155131434062
"157",0.951551754059016
"158",0.951910132445937
"159",0.950612257897659
"160",0.950802070122985
"161",0.948883384437527
"162",0.949119181180304
"163",0.949137046498247
"164",0.949008957834313
"165",0.94922887705065
"166",0.947278563604127
"167",0.945130368872599
"168",0.943551849797264
"169",0.943612301608428
"170",0.942743298682848
"171",0.942867381109476
"172",0.942069249318037
"173",0.942383265205277
"174",0.941802861149126
"175",0.940163211685059
"176",0.938311760653895
"177",0.938252417826025
"178",0.936430964581847
"179",0.936382584971511
"180",0.930525506556803
"181",0.932653311692089
"182",0.93017910198388
"183",0.926201338388148
"184",0.926095455244313
"185",0.9260225462363
"186",0.924103424307275
"187",0.925874296804487
"188",0.925517937309864
"189",0.924852133742923
"190",0.924808736052204
"191",0.923658726054663
"192",0.924629328498013
"193",0.917198123737905
"194",0.924444378602874
"195",0.915266792889667
"196",0.92040821164013
"197",0.919377522302187
"198",0.913627766759358
"199",0.907723117351226
"200",0.902329132746534
"201",0.924655449261397
"202",0.924706591796305
"203",0.921678780755537
"204",0.919776763040426
"205",0.917356108352272
"206",0.917657156728126
"207",0.916546917174902
"208",0.916167579906622
"209",0.917130142859357
"210",0.916758768449857
"211",0.916397016766307
"212",0.915821643846594
"213",0.914730274402127
"214",0.916349007070828
"215",0.915608602134204
"216",0.914913665068119
"217",0.915735909635917
"218",0.915684164634881
"219",0.914514461832967
"220",0.914166630191778
"221",0.913825807239446
"222",0.913954363333501
"223",0.914003534838234
"224",0.912336751901702
"225",0.913297836067164
"226",0.912192433889555
"227",0.911213085154602
"228",0.910643812097367
"229",0.910314223260504
"230",0.911189852958201
"231",0.91125614494169
"232",0.909907929144588
"233",0.909840905457192
"234",0.909156839772785
"235",0.90894788769531
"236",0.908515850288841
"237",0.907510631153019
"238",0.907372364010209
"239",0.907292822409353
"240",0.907866022775471
"241",0.907532385160628
"242",0.907225113742128
"243",0.907635412246655
"244",0.907637993706021
"245",0.907977443565343
"246",0.90778346730834
"247",0.906374678867702
"248",0.907372307089489
"249",0.906439347112727
"250",0.905732562521234
"251",0.904023347100947
"252",0.904460589820027
"253",0.904928373234695
"254",0.903947937926767
"255",0.898830470908074
"256",0.90303391512715
"257",0.903549672301717
"258",0.904309250266072
"259",0.903177903804091
"260",0.903664603011678
"261",0.903509419227553
"262",0.90434496657094
"263",0.903194917241804
"264",0.903630989092445
"265",0.903753598814494
"266",0.902922250348107
"267",0.903389840750938
"268",0.901983085702166
"269",0.902326506277578
"270",0.903104928042541
"271",0.902238740104444
"272",0.902522975273617
"273",0.901442929012925
"274",0.900772737895548
"275",0.901729728854838
"276",0.902039474690001
"277",0.902276264994489
"278",0.901665459516637
"279",0.899436033640348
"280",0.901646894629606
"281",0.902290386701399
"282",0.900488194478815
"283",0.901810210596019
"284",0.901074920276804
"285",0.898659939905581
"286",0.900369476255957
"287",0.901473251445106
"288",0.901252405945834
"289",0.901115052602359
"290",0.901365416123694
"291",0.901601411436107
"292",0.898831056080153
"293",0.900821311935139
"294",0.90155561910448
"295",0.901030696481949
"296",0.900902947421463
"297",0.901186602411538
"298",0.899098906954755
"299",0.900789572436136
"300",0.901398166512631
"301",0.9006221788051
"302",0.900152227595476
"303",0.899963781263862
"304",0.900908634886916
"305",0.899681627177013
"306",0.900479355359862
"307",0.90003865803529
"308",0.899888032050618
"309",0.901038478063903
"310",0.901100757578065
"311",0.899535617820602
"312",0.901497245598225
"313",0.900581122347931
"314",0.900894745197568
"315",0.898818993253416
"316",0.900803230735267
"317",0.900047923011254
"318",0.901062792059473
"319",0.900304074805415
"320",0.900300301556847
"321",0.9000319485947
"322",0.899553044041394
"323",0.899739043450655
"324",0.899688693838731
"325",0.899753178917359
"326",0.899714100384347
"327",0.899857355818518
"328",0.899451788256538
"329",0.899389077347264
"330",0.897359781990646
"331",0.898490888846438
"332",0.897597586795311
"333",0.89647691644981
"334",0.896907512945881
"335",0.897513531664577
"336",0.89573320861275
"337",0.894435656790076
"338",0.897232530299925
"339",0.89541425831978
